setup,horizon,n,win_rate,avg_win,avg_loss,expectancy,profit_factor,sharpe,max_dd,total_return
setup_d1_bull_engulf,fwd_ret_M12_2,45,0.5555555555555556,0.0003826410823833692,-0.0005375597068669944,-2.633704617234793e-05,0.8897641450227873,-8.93097923360772,-0.004420121754419415,-0.00118516707775566
setup_d1_bull_engulf,fwd_ret_M12_5,45,0.6222222222222222,0.0005067215305336294,-0.0011760853102569181,-0.00012900549820946632,0.8042615464033066,-12.351123860615514,-0.008324869849416161,-0.003453076798912151
setup_d1_bull_engulf,fwd_ret_M12_10,45,0.5555555555555556,0.001010660487324325,-0.0016303553214477029,-0.00016312431657435392,0.7748774715156044,-15.703688233336077,-0.016952331490558303,-0.007340594245845933
setup_d1_bull_engulf,fwd_ret_H1_1,45,0.6222222222222222,0.0005067215305336294,-0.0011760853102569181,-0.00012900549820946632,0.8042615464033066,-12.351123860615514,-0.008324869849416161,-0.003453076798912151
setup_d1_bull_engulf,fwd_ret_H1_3,45,0.6222222222222222,0.0016859289596401384,-0.0024129706516257334,0.0001374557731619201,1.1507906931848395,9.704827495993404,-0.012681743359477249,0.006185509792286411
setup_d1_bear_engulf,fwd_ret_M12_2,64,0.421875,0.0016785750120376223,-0.0005100126588549718,0.0004132977648028413,2.401717033093503,21.978724414495762,-0.004655063112661062,0.02645105694738184
setup_d1_bear_engulf,fwd_ret_M12_5,64,0.421875,0.0013275452182371877,-0.0006896908061925782,0.00016133064161372933,1.4046137843364555,14.48351419054783,-0.005393109203457813,0.010325161063278673
setup_d1_bear_engulf,fwd_ret_M12_10,64,0.46875,0.0016537408936735869,-0.0016643439636374487,-0.00010899168677290082,0.8767317173354164,-9.563322883070757,-0.016119615215720584,-0.0069754679534656475
setup_d1_bear_engulf,fwd_ret_H1_1,64,0.421875,0.0013275452182371877,-0.0006896908061925782,0.00016133064161372933,1.4046137843364555,14.48351419054783,-0.005393109203457813,0.010325161063278673
setup_d1_bear_engulf,fwd_ret_H1_3,64,0.390625,0.0020541102783206188,-0.002127953392910071,-0.0004943347713355828,0.6187811078404943,-36.968707366057764,-0.03455388523813929,-0.031637425365477305
setup_d1_breakout_up,fwd_ret_M12_2,249,0.5783132530120482,0.0008761198917619814,-0.0006412344877201558,0.00023627165945023674,1.9101696310008824,36.144306423914486,-0.00695276020118174,0.060114112178549284
setup_d1_breakout_up,fwd_ret_M12_5,249,0.5903614457831325,0.0015167769173378312,-0.0008338832318487755,0.0005538558923698237,2.6738300799541204,50.23364324085163,-0.00976665110630559,0.13957788366378363
setup_d1_breakout_up,fwd_ret_M12_10,249,0.6024096385542169,0.0023961628772984156,-0.0011021945302337238,0.0010052496911711797,3.293928353390249,63.24671895072231,-0.016796243206846917,0.2503071731016236
setup_d1_breakout_up,fwd_ret_H1_1,249,0.5903614457831325,0.0015167769173378312,-0.0008338832318487755,0.0005538558923698237,2.6738300799541204,50.23364324085163,-0.00976665110630559,0.13957788366378363
