setup,bars_forward,minutes_forward,n,win_rate,median_ret,mean_ret,expectancy,std_ret,sharpe
setup_h4_bull_engulf,1,12,349,0.6103151862464183,0.00010530233581192272,0.00019366276431854792,0.00019046057160773344,0.0009198097565073503,44.06412697253208
setup_h4_bull_engulf,2,24,349,0.6074498567335244,0.0002460218971898101,0.00046697587862651427,0.00046697587862651427,0.0017917478830290147,38.569108923364674
setup_h4_bull_engulf,3,36,349,0.6361031518624641,0.00031042462575020643,0.0007092618411560048,0.0007092618411560048,0.002213643548684009,38.71464960607208
setup_h4_bull_engulf,4,48,349,0.6590257879656161,0.00043707970115571714,0.0008427643446590817,0.0008427643446590818,0.002262987224571573,38.97006325712127
setup_h4_bull_engulf,5,60,349,0.6819484240687679,0.0005901673874926242,0.0011039418094769841,0.0011014355267449192,0.0025700889625320574,40.20222392228354
setup_h4_bull_engulf,6,72,349,0.7020057306590258,0.0006997035593353839,0.00138311829744815,0.0013809174051992257,0.002725107502661112,43.364776993474
setup_h4_bull_engulf,7,84,349,0.7249283667621776,0.001015554879751543,0.0015853353181479349,0.0015853353181479349,0.002777117568018353,45.15594177730575
setup_h4_bull_engulf,8,96,349,0.7564469914040115,0.0011239845983535548,0.0017979268678318728,0.0017979268678318735,0.0030786571567867124,43.21183968702727
setup_h4_bull_engulf,9,108,349,0.7851002865329513,0.0012129305509467575,0.0018985902625482454,0.0018985902625482456,0.0029695452125158748,44.602284925289105
setup_h4_bull_engulf,10,120,349,0.8166189111747851,0.0013653656891996172,0.002097585859930622,0.0020975858599306214,0.003182780584263101,43.61642860820743
setup_h4_bull_engulf,11,132,349,0.839541547277937,0.0015959127709665644,0.002332211606395029,0.002332211606395029,0.0033743908826658463,43.61273032355709
setup_h4_bull_engulf,12,144,349,0.8567335243553008,0.0016677019743865334,0.002519767922802658,0.002519767922802658,0.003496248467017473,43.541630323525375
setup_h4_bull_engulf,13,156,349,0.8739255014326648,0.0017591155024757855,0.0026673478141213017,0.0026673478141213017,0.003508093574953616,44.13405785073808
setup_h4_bull_engulf,14,168,349,0.8882521489971347,0.0019726780408659515,0.002834035843291804,0.002834035843291804,0.003469914857898301,45.683519769732754
setup_h4_bull_engulf,15,180,349,0.8939828080229226,0.002277444873760529,0.0030463708491410392,0.003046370849141039,0.0034861118851053537,47.22074940868018
setup_h4_bull_engulf,16,192,349,0.9083094555873925,0.002346230789211477,0.003212878429434555,0.0032128784294345554,0.0036101599154468545,46.56342492578157
setup_h4_bull_engulf,17,204,349,0.9226361031518625,0.0024510090322221872,0.003433601066571072,0.0034336010665710725,0.003715028792781353,46.91376042552916
setup_h4_bull_engulf,18,216,349,0.9512893982808023,0.0028850470001808427,0.0037256344096482288,0.0037256344096482283,0.00373733626285814,49.1743767165193
setup_h4_bull_engulf,19,228,349,0.9455587392550143,0.0028985402887622205,0.00393084821172668,0.003930848211726681,0.003896152252847345,48.44072215731436
setup_h4_bull_engulf,20,240,349,0.9226361031518625,0.0028684798888280317,0.0038129936293270373,0.0038129936293270373,0.004038697300275657,44.182148700705696
setup_h1_bull_engulf,1,12,1414,0.7157001414427157,0.00028141552897908756,0.00038794420080904646,0.0003862420368498709,0.0009227261979511835,87.99003049464251
setup_h1_bull_engulf,2,24,1414,0.7878359264497878,0.0005623273413096808,0.0007980833959535408,0.0007969821528947746,0.0013634697582305697,86.62132510457847
