setup,session,horizon,n,win_rate,expectancy,profit_factor,avg_win,avg_loss
setup_h4_bull_engulf,asian,M12_2,109,0.6605504587155964,0.000716833511638559,5.085574764018182,0.0013508252897278098,-0.0005168802186972806
setup_h4_bull_engulf,asian,M12_5,109,0.6880733944954128,0.0012407422329333586,8.111157712613851,0.0020655892465089296,-0.0005787732381892246
setup_h4_bull_engulf,asian,M12_10,109,0.8348623853211009,0.0019454750144271482,14.893757728267419,0.0024980166377466637,-0.0008479298590215125
setup_h4_bull_engulf,asian,H1_1,109,0.6880733944954128,0.0012407422329333586,8.111157712613851,0.0020655892465089296,-0.0005787732381892246
setup_h4_bull_engulf,asian,H1_3,109,0.8899082568807339,0.0024754491353271148,40.149062616979364,0.002852744080799174,-0.0005743516739053629
setup_h4_bull_engulf,london,M12_2,148,0.5337837837837838,0.00013373982159860562,1.5012859524292168,0.0007503661773313647,-0.0005722526726461474
setup_h4_bull_engulf,london,M12_5,148,0.6216216216216216,0.00044971349715776436,2.5298989613521545,0.0011963279164446954,-0.0007768673345279079
setup_h4_bull_engulf,london,M12_10,148,0.75,0.0011884901461454488,7.763897088674732,0.00181893466929042,-0.0007028434232894652
setup_h4_bull_engulf,london,H1_1,148,0.6216216216216216,0.00044971349715776436,2.5298989613521545,0.0011963279164446954,-0.0007768673345279079
setup_h4_bull_engulf,london,H1_3,148,0.8648648648648649,0.002426301324446179,22.05845566938708,0.002938631069846145,-0.0008526090461136035
setup_h4_bull_engulf,ny,M12_2,92,0.6630434782608695,0.0007070242964723576,2.476350349331125,0.0017886072523038384,-0.0014212518424218462
setup_h4_bull_engulf,ny,M12_5,92,0.7717391304347826,0.001988026275002097,6.441444657855612,0.0030494439970473225,-0.00160057649953176
setup_h4_bull_engulf,ny,M12_10,92,0.9021739130434783,0.003740262466453275,25.493131406895685,0.0043150982263113966,-0.0015610006522382921
setup_h4_bull_engulf,ny,H1_1,92,0.7717391304347826,0.001988026275002097,6.441444657855612,0.0030494439970473225,-0.00160057649953176
setup_h4_bull_engulf,ny,H1_3,92,0.9456521739130435,0.004720292115016658,124.96016280285806,0.0050318408308728324,-0.0007006555408807835
setup_h1_bull_engulf,asian,M12_2,450,0.7777777777777778,0.0006295791077968149,6.762381693819773,0.000949931819771295,-0.0004916553841138654
setup_h1_bull_engulf,asian,M12_5,450,0.8333333333333334,0.0012006039780682843,11.956224549030487,0.001574164651847504,-0.0006671993908278145
setup_h1_bull_engulf,asian,M12_10,450,0.7333333333333333,0.0012961420582846728,4.9903481223226756,0.0022150666006484103,-0.0012309004332156043
setup_h1_bull_engulf,asian,H1_1,450,0.8333333333333334,0.0012006039780682843,11.956224549030487,0.001574164651847504,-0.0006671993908278145
setup_h1_bull_engulf,asian,H1_3,450,0.6844444444444444,0.001218055228336819,3.281427160533485,0.0025676576522229593,-0.0017092514375570624
setup_h1_bull_engulf,london,M12_2,545,0.7963302752293578,0.0008234297443690835,9.32297017814292,0.0011608277254298582,-0.0004957659653640358
setup_h1_bull_engulf,london,M12_5,545,0.8697247706422019,0.0015244809738360911,19.737340645450544,0.0018463790061466145,-0.000624528424969375
setup_h1_bull_engulf,london,M12_10,545,0.7339449541284404,0.0013406473134360303,4.085642510892121,0.0024296223271266792,-0.0016634216898485188
setup_h1_bull_engulf,london,H1_1,545,0.8697247706422019,0.0015244809738360911,19.737340645450544,0.0018463790061466145,-0.000624528424969375
setup_h1_bull_engulf,london,H1_3,545,0.6788990825688074,0.0012420061212579064,2.4130065073841687,0.0031241569645689467,-0.002737398518885437
setup_h1_bull_engulf,ny,M12_2,484,0.7954545454545454,0.0010062078256846858,8.428440476587324,0.001437205525220905,-0.0006698943391783877
setup_h1_bull_engulf,ny,M12_5,484,0.8553719008264463,0.0019197086280054504,20.90331691358921,0.002357056994542275,-0.0006668945683694833
setup_h1_bull_engulf,ny,M12_10,484,0.7417355371900827,0.0018526179221489657,5.04906559011743,0.0031207488614261097,-0.0017894541354549927
setup_h1_bull_engulf,ny,H1_1,484,0.8553719008264463,0.0019197086280054504,20.90331691358921,0.002357056994542275,-0.0006668945683694833
setup_h1_bull_engulf,ny,H1_3,484,0.6921487603305785,0.0017796314058482186,2.9685364522687308,0.0038773012120463255,-0.00293660607788578
setup_h1_bull_engulf,overlap,M12_2,209,0.7655502392344498,0.0008636929650479782,7.588361139500296,0.0013035621946583145,-0.000572614723475569
setup_h1_bull_engulf,overlap,M12_5,209,0.84688995215311,0.0016539531983548498,17.64192803060877,0.0020703255533134715,-0.0006491063900100255
setup_h1_bull_engulf,overlap,M12_10,209,0.7081339712918661,0.0015325586697721696,3.53023034592013,0.003039588771979545,-0.002123842233944086
setup_h1_bull_engulf,overlap,H1_1,209,0.84688995215311,0.0016539531983548498,17.64192803060877,0.0020703255533134715,-0.0006491063900100255
setup_h1_bull_engulf,overlap,H1_3,209,0.6411483253588517,0.0012892485954774898,1.974990862265134,0.004073265322193892,-0.003684861289589149
setup_d1_breakout_up,asian,M12_2,249,0.5783132530120482,0.00023627165945023674,1.9101696310008824,0.0008761198917619814,-0.0006412344877201558
setup_d1_breakout_up,asian,M12_5,249,0.5903614457831325,0.0005538558923698237,2.6738300799541204,0.0015167769173378312,-0.0008338832318487755
setup_d1_breakout_up,asian,M12_10,249,0.6024096385542169,0.0010052496911711797,3.293928353390249,0.0023961628772984156,-0.0011021945302337238
setup_d1_breakout_up,asian,H1_1,249,0.5903614457831325,0.0005538558923698237,2.6738300799541204,0.0015167769173378312,-0.0008338832318487755
setup_d1_breakout_up,asian,H1_3,249,0.6827309236947792,0.0017144212062246813,4.714942860376876,0.003198111657722542,-0.0014783303982643862
confluence_d1_h4_h1_long,asian,M12_2,8182,0.5738205817648496,0.00017040545824812664,1.7646415025931066,0.0006926728110135778,-0.00053279076235233
confluence_d1_h4_h1_long,asian,M12_5,8182,0.5980200439990222,0.00038194662587318464,2.168715116467183,0.0011910920090290723,-0.0008218078161401195
confluence_d1_h4_h1_long,asian,M12_10,8182,0.6218528477144952,0.0006698874364986221,2.5540266990786216,0.0017730269229007045,-0.0011441958559428112
confluence_d1_h4_h1_long,asian,H1_1,8182,0.5980200439990222,0.00038194662587318464,2.168715116467183,0.0011910920090290723,-0.0008218078161401195
confluence_d1_h4_h1_long,asian,H1_3,8182,0.6290637985822537,0.0009183581392436134,2.821872925598622,0.002265712182272434,-0.0013665944997907657
confluence_d1_h4_h1_long,london,M12_2,11159,0.5721838874451116,0.00022275624498037632,1.7278487300058427,0.0009290155965222413,-0.0007218323514994748
confluence_d1_h4_h1_long,london,M12_5,11159,0.6009499059055471,0.000483680028768018,2.093243233273561,0.0015439315664718073,-0.0011130068815938979
confluence_d1_h4_h1_long,london,M12_10,11159,0.6263106013083609,0.0008846429057807184,2.5182131922086683,0.002345784770969594,-0.001564258891774449
confluence_d1_h4_h1_long,london,H1_1,11159,0.6009499059055471,0.000483680028768018,2.093243233273561,0.0015439315664718073,-0.0011130068815938979
confluence_d1_h4_h1_long,london,H1_3,11159,0.6457567882426741,0.0013082607600396782,2.9443322249383734,0.003069902965152918,-0.001903070818519899
confluence_d1_h4_h1_long,ny,M12_2,10124,0.5944290794152509,0.00030300434058498166,1.8696688811135578,0.001099266724771409,-0.0008640455931787591
confluence_d1_h4_h1_long,ny,M12_5,10124,0.6115171868826551,0.0006434613367987856,2.329253718182722,0.0018456051308397468,-0.0012488529853236633
confluence_d1_h4_h1_long,ny,M12_10,10124,0.6261359146582378,0.001080830530387829,2.740752422464296,0.0027203080268558043,-0.001664915268848761
confluence_d1_h4_h1_long,ny,H1_1,10124,0.6115171868826551,0.0006434613367987856,2.329253718182722,0.0018456051308397468,-0.0012488529853236633
confluence_d1_h4_h1_long,ny,H1_3,10124,0.639075464243382,0.0014478204224513695,3.022966777093314,0.0033881327410225045,-0.001987817426797465
confluence_d1_h4_h1_long,overlap,M12_2,4141,0.5918860178700797,0.00029383736522219165,1.8417598325115514,0.0010877409258709077,-0.0008575576804286974
confluence_d1_h4_h1_long,overlap,M12_5,4141,0.6196570876599855,0.0006919510790500992,2.34230373318746,0.0019504191345672708,-0.0013583530672718455
confluence_d1_h4_h1_long,overlap,M12_10,4141,0.6539483216614345,0.0013622284971062234,2.9219041186877828,0.0031692515556233335,-0.002052578510894009
confluence_d1_h4_h1_long,overlap,H1_1,4141,0.6196570876599855,0.0006919510790500992,2.34230373318746,0.0019504191345672708,-0.0013583530672718455
confluence_d1_h4_h1_long,overlap,H1_3,4141,0.6657812122675683,0.0019864164371294337,3.3049856125037076,0.004280681098339214,-0.002583878122809414
setup_h4_vol_compress,asian,M12_2,4354,0.5163068442811208,3.219477577175278e-05,1.1535330082564876,0.000483521170438599,-0.0004495629332553462
setup_h4_vol_compress,asian,M12_5,4354,0.518833256775379,7.687083028172064e-05,1.2306832495686388,0.0008124211853996257,-0.0007162596003680872
