setup,context,horizon,n,win_rate,expectancy,profit_factor
setup_h4_bull_engulf,d1_strong_up,M12_2,87,0.6206896551724138,0.0006927018232041054,3.081938815465455
setup_h4_bull_engulf,d1_strong_up,M12_5,87,0.7126436781609196,0.0013664390908238995,5.286427183817676
setup_h4_bull_engulf,d1_strong_up,M12_10,87,0.8275862068965517,0.0022293045951654053,9.372453338999643
setup_h4_bull_engulf,d1_strong_up,H1_1,87,0.7126436781609196,0.0013664390908238995,5.286427183817676
setup_h4_bull_engulf,d1_strong_up,H1_3,87,0.8735632183908046,0.003147019364567064,38.29606348296428
setup_h4_bull_engulf,d1_strong_down,M12_2,87,0.5977011494252874,0.0003294176204942421,2.3218701649529696
setup_h4_bull_engulf,d1_strong_down,M12_5,87,0.632183908045977,0.0009663456276074443,4.4450900882132975
setup_h4_bull_engulf,d1_strong_down,M12_10,87,0.7931034482758621,0.0017368992910863652,13.012908831170042
setup_h4_bull_engulf,d1_strong_down,H1_1,87,0.632183908045977,0.0009663456276074443,4.4450900882132975
setup_h4_bull_engulf,d1_strong_down,H1_3,87,0.8620689655172413,0.0025639233059131165,20.88037408571347
setup_h4_bull_engulf,d1_neutral,M12_2,175,0.6057142857142858,0.00042314394307941313,2.4229118054876024
setup_h4_bull_engulf,d1_neutral,M12_5,175,0.6914285714285714,0.0010370957051430854,5.13632062798583
setup_h4_bull_engulf,d1_neutral,M12_10,175,0.8228571428571428,0.002211415582925044,20.77225278269194
setup_h4_bull_engulf,d1_neutral,H1_1,175,0.6914285714285714,0.0010370957051430854,5.13632062798583
setup_h4_bull_engulf,d1_neutral,H1_3,175,0.92,0.0032361795086768403,64.72945758990886
setup_h4_bull_engulf,h4_up,M12_2,161,0.577639751552795,0.0003797552613615716,2.0478809954849706
setup_h4_bull_engulf,h4_up,M12_5,161,0.6459627329192547,0.0009094824368117201,3.5393571006713893
setup_h4_bull_engulf,h4_up,M12_10,161,0.8012422360248447,0.0021260750665609983,11.804219030240938
setup_h4_bull_engulf,h4_up,H1_1,161,0.6459627329192547,0.0009094824368117201,3.5393571006713893
setup_h4_bull_engulf,h4_up,H1_3,161,0.9006211180124224,0.0033479021197968706,46.38873147980254
setup_h4_bull_engulf,h4_down,M12_2,188,0.6329787234042553,0.0005416701306459602,3.297598687559579
setup_h4_bull_engulf,h4_down,M12_5,188,0.7127659574468085,0.001266604246662162,7.195293310526751
setup_h4_bull_engulf,h4_down,M12_10,188,0.8297872340425532,0.0020731881882950325,17.490729872130235
setup_h4_bull_engulf,h4_down,H1_1,188,0.7127659574468085,0.001266604246662162,7.195293310526751
setup_h4_bull_engulf,h4_down,H1_3,188,0.8882978723404256,0.002788144601398545,34.660670026431504
setup_h4_bull_engulf,h1_up,M12_2,139,0.5899280575539568,0.0004313969199515466,2.1987975195845264
setup_h4_bull_engulf,h1_up,M12_5,139,0.6762589928057554,0.0010202203303139028,4.091747021158771
setup_h4_bull_engulf,h1_up,M12_10,139,0.8345323741007195,0.0020271817059239012,11.376401206789318
setup_h4_bull_engulf,h1_up,H1_1,139,0.6762589928057554,0.0010202203303139028,4.091747021158771
setup_h4_bull_engulf,h1_up,H1_3,139,0.9064748201438849,0.003050522643218929,38.23593194056672
setup_h4_bull_engulf,h1_down,M12_2,210,0.6190476190476191,0.0004905257607970882,2.9565671606739405
setup_h4_bull_engulf,h1_down,M12_5,210,0.6857142857142857,0.0011556689042822393,5.835576056043453
setup_h4_bull_engulf,h1_down,M12_10,210,0.8047619047619048,0.002144186704725546,16.989309032062522
setup_h4_bull_engulf,h1_down,H1_1,210,0.6857142857142857,0.0011556689042822393,5.835576056043453
setup_h4_bull_engulf,h1_down,H1_3,210,0.8857142857142857,0.003043622756870436,40.79776051568866
setup_h4_bull_engulf,vol_low,M12_2,115,0.6,0.00017831882275813252,2.0035022725797615
