setup,mae,mfe,mfe_mae_ratio
setup_h4_bull_engulf,0.00014471854826620601,0.0039590859989973495,27.357142857145814
setup_h4_bull_engulf,0.0002699924194435985,0.0074870974776477806,27.73076923077034
setup_h4_bull_engulf,0.0009345260654894864,0.00429881990125185,4.600000000000227
setup_h4_bull_engulf,0.0005566683141274946,0.002684493926072291,4.822429906541181
setup_h4_bull_engulf,0.001790834707532052,0.008864894388017625,4.950146627565829
setup_h4_bull_engulf,0.0007272425042075465,0.004171255220562249,5.735714285714826
setup_h4_bull_engulf,0.002528517208973843,0.015124375009735107,5.981519507187015
setup_h4_bull_engulf,0.0007886556493862126,0.003579677265720626,4.538961038961152
setup_h4_bull_engulf,0.0017488407913103373,0.00776014675287863,4.437308868501551
setup_h4_bull_engulf,0.0017331299794157485,0.002650355691598867,1.5292307692307776
setup_h4_bull_engulf,0.0013440643430482305,0.006521400192470073,4.852000000000044
setup_h4_bull_engulf,0.0010363773949091937,0.003619095664762022,3.492063492063259
setup_h4_bull_engulf,9.234463015979573e-05,0.002438984643631213,26.4117647058711
setup_h4_bull_engulf,0.0009434322392064361,0.006658559329890462,7.057803468208039
setup_h4_bull_engulf,0.0002874961298597803,0.004500420186651263,15.653846153846455
setup_h4_bull_engulf,0.0006124104142873143,0.0014620608989744006,2.3873873873876845
setup_h4_bull_engulf,0.0018623243906789114,0.012611346014625784,6.771830985915569
setup_h4_bull_engulf,0.0030565434771402692,0.002840059790732432,0.9291736930860276
setup_h4_bull_engulf,0.004427091185013189,0.003954734123275202,0.8933030646992243
setup_h4_bull_engulf,0.0006458656906918406,0.008401379897174132,13.00793650793668
setup_h4_bull_engulf,0.0008027262400605418,0.0014136059573393687,1.761006289308238
setup_h4_bull_engulf,0.0004156831306877666,0.0022021308709056675,5.2976190476196185
setup_h4_bull_engulf,0.0014086329789351766,0.009561780751005474,6.787985865724569
setup_h4_bull_engulf,0.0016457375397719678,0.0014462542016177417,0.8787878787878496
setup_h4_bull_engulf,0.0004602281922641618,0.004243202783621996,9.219780219779501
setup_h4_bull_engulf,0.005215787457920896,0.0023080489427322434,0.4425120772947048
setup_h4_bull_engulf,3.525578068886589e-05,0.0027902432145213343,79.1428571429286
setup_h4_bull_engulf,0.0001566186537868599,0.01343383872320439,85.77419354840266
setup_h4_bull_engulf,0.001039055367527979,0.00382836419395035,3.684466019417644
setup_h4_bull_engulf,0.0010179810208611397,0.0064207290730414115,6.3073170731709025
setup_h4_bull_engulf,4.4683861678695985e-05,0.0021845443487326483,48.888888888808324
setup_h4_bull_engulf,0.0007810221503813302,0.0019476121977864717,2.4936708860760985
setup_h4_bull_engulf,6.430995419157892e-05,0.002621867363192917,40.76923076919619
setup_h4_bull_engulf,0.0022419425569970555,0.009164864079152958,4.0879120879121595
setup_h4_bull_engulf,0.002845737125656008,0.006797872923633623,2.3887915936952737
setup_h4_bull_engulf,0.0009322899620140844,0.0008579051246194067,0.9202127659575144
setup_h4_bull_engulf,0.002009138008403732,0.011769265287806432,5.857868020304469
setup_h4_bull_engulf,0.000708792571853893,0.005047615672416338,7.121428571428128
setup_h4_bull_engulf,0.0019095077146152812,0.0015827470361786035,0.8288770053476784
setup_h4_bull_engulf,0.0017414840917214926,0.003360400388131431,1.9296187683285735
setup_h4_bull_engulf,0.0008230156321531165,0.001054488778696217,1.2812500000000444
setup_h4_bull_engulf,0.00034964675394115463,0.0024835203257885844,7.102941176472525
setup_h4_bull_engulf,0.002951968581145605,0.004742760709917507,1.6066433566433584
setup_h4_bull_engulf,0.00037841016593797606,0.004213648334228227,11.13513513513501
setup_h4_bull_engulf,0.0008758930799354423,0.0018790962005591735,2.1453488372093
setup_h4_bull_engulf,0.00032677903099810574,0.0034822390490729872,10.656249999998234
setup_h4_bull_engulf,0.0008160625750624342,0.0042753466982826385,5.2389937106912985
setup_h4_bull_engulf,0.0017501240759606803,0.000976934931954074,0.5582089552238253
setup_h4_bull_engulf,0.0012262989155567968,0.0045518552967279595,3.7118644067798146
setup_h4_bull_engulf,0.0011217079176927725,0.0019564672983012647,1.7441860465115542
setup_h4_bull_engulf,0.0011391485648296052,0.0043266743654994605,3.7981651376145553
setup_h4_bull_engulf,0.002389138767412218,0.0017814665157007115,0.7456521739129858
setup_h4_bull_engulf,0.0007691180779373128,0.0010987401113390694,1.428571428571495
setup_h4_bull_engulf,0.0009213567368355206,0.0023632540029566514,2.5649717514124353
setup_h4_bull_engulf,0.00010431553362613599,0.004855888090295498,46.54999999998914
setup_h4_bull_engulf,0.0005609398859421854,0.00128289029470121,2.2870370370372166
setup_h4_bull_engulf,0.0008578412373583939,0.007699900263036909,8.975903614458673
setup_h4_bull_engulf,0.00026033159098333414,0.0023685070238484668,9.098039215686633
setup_h4_bull_engulf,0.0018116127447468163,0.0016939090918395266,0.9350282485875647
setup_h4_bull_engulf,0.000566242827169604,0.004150762152733909,7.330357142856402
setup_h4_bull_engulf,0.00038378090715572295,0.006519158342885218,16.98666666666668
setup_h4_bull_engulf,0.0014738965169498804,0.0024202932278332874,1.6421052631577588
setup_h4_bull_engulf,2.584540313657462e-05,0.00172647292952483,66.80000000006366
setup_h4_bull_engulf,0.004188709101909694,0.0056056304524322535,1.3382716049382766
setup_h4_bull_engulf,0.0007199424046075698,0.0022641666927516123,3.1449275362322586
setup_h4_bull_engulf,0.00017771830603099904,0.0034602799586020317,19.470588235285465
setup_h4_bull_engulf,0.00030072807850594263,0.003614012873272084,12.017543859645512
setup_h4_bull_engulf,0.0005194151071096957,0.007492169423764013,14.424242424242264
setup_h4_bull_engulf,0.0008929457287429498,0.0014777990715452802,1.6549707602338404
setup_h4_bull_engulf,8.331337283780025e-05,0.0012913572789852526,15.499999999992184
setup_h4_bull_engulf,0.0010131139110311274,0.0017073797891488487,1.685279187817203
setup_h4_bull_engulf,0.0023626424534420034,0.0006331264090923223,0.2679738562091591
setup_h4_bull_engulf,0.001331654141547689,0.0007226030225451439,0.5426356589146433
setup_h4_bull_engulf,0.0005454035466813256,0.0014492151383247091,2.657142857142938
setup_h4_bull_engulf,0.0012038272325524122,0.0023190611189859802,1.9264069264067034
setup_h4_bull_engulf,0.0010560486094492799,0.0011288795480320418,1.0689655172414294
setup_h4_bull_engulf,0.0030209262075837785,0.0027744270205066154,0.918402777777773
setup_h4_bull_engulf,0.0007456735399815935,0.001962571330923684,2.6319444444443194
setup_h4_bull_engulf,0.0003678584936452751,0.002010268951188861,5.46478873239599
setup_h4_bull_engulf,0.00021852805744169867,0.002497463513618957,11.42857142856934
setup_h4_bull_engulf,0.0010988648725866182,0.004922914629188069,4.480000000000018
